timestamp,Binance_ALGOUSDT,round,ALGOFI_ALGO_USDC_[ALGO],ALGOFI_ALGO_USDC_[USDC],ALGOFI_ALGO_USDT_[ALGO],ALGOFI_ALGO_USDT_[USDT],HUMBLESWAP_ALGO_USDC_[ALGO],HUMBLESWAP_ALGO_USDC_[USDC],HUMBLESWAP_ALGO_USDT_[ALGO],HUMBLESWAP_ALGO_USDT_[USDT],HUMBLESWAP_ALGO_goUSD_[ALGO],HUMBLESWAP_ALGO_goUSD_[goUSD],PACT_ALGO_USDC_[ALGO],PACT_ALGO_USDC_[USDC],PACT_ALGO_USDT_[ALGO],PACT_ALGO_USDT_[USDT],TINYMAN(v1.1)_ALGO_USDC_[ALGO],TINYMAN(v1.1)_ALGO_USDC_[USDC],TINYMAN(v1.1)_ALGO_USDT_[ALGO],TINYMAN(v1.1)_ALGO_USDT_[USDT],TINYMAN(v2)_ALGO_USDC_[ALGO],TINYMAN(v2)_ALGO_USDC_[USDC]
1682468353656,0.1881191335655630,28630994,801364.66628,150048.46244,29803.26726,5585.41314,2981451.26774,595701.73894,387265.78339,72914.29569,91852.6747,18073.16042,7746997.79879,1453800.99077,215.94178,39.30034,5464566.10091,1057117.79854,374655.47997,72910.66527,65658926.06864,12351766.64641
1682468357662,0.1881191335655630,28630995,801364.66628,150048.46244,29803.26726,5585.41314,2981451.26774,595701.73894,387265.78339,72914.29569,91852.6747,18073.16042,7746997.79879,1453800.99077,215.94178,39.30034,5464566.10091,1057117.79854,374655.47997,72910.66527,65658926.06864,12351766.64641
1682468375865,0.1881138847069528,28631000,801364.66628,150048.46244,29803.26726,5585.41314,2981451.26774,595701.73894,387265.78339,72914.29569,91852.6747,18073.16042,7746997.79879,1453800.99077,215.94178,39.30034,5464566.10091,1057117.79854,374655.47997,72910.66527,65658926.06864,12351766.64641
1682468387452,0.1882631990302331,28631003,801364.66628,150048.46244,29803.26726,5585.41314,2981451.26774,595701.73894,387265.78339,72914.29569,91852.6747,18073.16042,7746997.79879,1453800.99077,215.94178,39.30034,5464566.10091,1057117.79854,374655.47997,72910.66527,65658926.06864,12351766.64641
1682468398317,0.1882631990302331,28631006,801364.66628,150048.46244,29803.26726,5585.41314,2981451.26774,595701.73894,387265.78339,72914.29569,91852.6747,18073.16042,7746997.79879,1453800.99077,215.94178,39.30034,5464566.10091,1057117.79854,374655.47997,72910.66527,65658926.06864,12351766.64641
1682468409400,0.1882631990302331,28631009,801364.66628,150048.46244,29803.26726,5585.41314,2981451.26774,595701.73894,387265.78339,72914.29569,91852.6747,18073.16042,7745642.79877,1454056.12972,215.94178,39.30034,5464566.10091,1057117.79854,374655.47997,72910.66527,65658926.06864,12351766.64641
1682468419235,0.1882917515024427,28631012,801364.66628,150048.46244,29803.26726,5585.41314,2981451.26774,595701.73894,387265.78339,72914.29569,91852.6747,18073.16042,7745642.79877,1454056.12972,215.94178,39.30034,5464566.10091,1057117.79854,374655.47997,72910.66527,65658926.06864,12351766.64641
1682468423476,0.1882917515024427,28631013,801364.66628,150048.46244,29803.26726,5585.41314,2981451.26774,595701.73894,387265.78339,72914.29569,91852.6747,18073.16042,7745642.79877,1454056.12972,215.94178,39.30034,5464566.10091,1057117.79854,374655.47997,72910.66527,65658926.06864,12351766.64641
1682468427834,0.1882917515024427,28631014,801364.66628,150048.46244,29803.26726,5585.41314,2981451.26774,595701.73894,387265.78339,72914.29569,91852.6747,18073.16042,7745642.79877,1454056.12972,215.94178,39.30034,5464566.10091,1057117.79854,374655.47997,72910.66527,65658926.06864,12351766.64641
1682468450284,0.1883713247323654,28631020,801364.66628,150048.46244,29803.26726,5585.41314,2981451.26774,595701.73894,387265.78339,72914.29569,91852.6747,18073.16042,7750855.72068,1453080.93189,215.94178,39.30034,5464566.10091,1057117.79854,374655.47997,72910.66527,65702818.79614,12343552.65387
