round,group_id,sender,receiver,application-id,amount_send,asset_id_send,amount_received,asset_id_received
28626297,f5i+GZYg3btZCZUSmmrwVsuNaz9tSNTHPd6NA34urWA=,R3HZ3BIEFNRIK37LNOOCBCKOFBFJXSESOYO7DCDVUAQUNFD4STNWFOKJMU,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,72339917,0,13199999,31566704
28626313,TVzN4udsYZe+dpjwJ8iaR1tRI+nHm5uuSu+x4UGrbvk=,MFWQQXHLZEMRGNKODAURK7GAYQLBSBOZA2FQMT2IYFSM24Y5YQO3T5K2EE,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,700000000,0,127715411,31566704
28626314,zPI3h3b5BMh3QlACgamXw3qMYiOjWPIvzV0+1ilHt30=,YEEEJXQAMTRZGZPAJ7KOPPT33SLQZSWJPQGP7RX7DAXRFAN56HWDKE22VY,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,49101900,0,8957655,31566704
28626340,BjoNku87UX2C/nM0bpgDk7cnBXEwPbTHquh9m89rgus=,Q7L3G2PJF76XQ44SIJM366VMZZWPQ6563TQHU3B4YF53QITCC3U4I4JZGQ,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,500000000,0,91207391,31566704
28626353,YKHXv1IwTPhSmxUvK7Pe/0YwjX2T66Zkop5lq58Spaw=,AACCDJTFPQR5UQJZ337NFR56CC44T776EWBGVJG5NY2QFTQWBWTALTEN4A,NGIHJMECRSFHIEQDHBVTLR54K7DOZWM5M6UM3A5CIOYSP6H3QTGSHHGJCQ,605929989,7755815,0,1415078,31566704
28626353,pgJvrI/6SQ/YtJ8OgQJbVlSyYfM2MtfGYHszSHKiDyo=,J4BJWP67LHXT7LQTWZYWJGNSB25VZMO6SFZPKBSY7HJUCXJIFVE2PEOTVA,MUGDC5IFPGEJQLZWYTDTBKPZMWQS6ALNJ7RKQT5CYASSGMKBE6VETMEDK4,661744776,4828985,0,3220,386192725
28626365,13YFzBfdf31FHe+4IWKTLLHSgTpk6aIus3LwRSPSfyg=,J4BJWP67LHXT7LQTWZYWJGNSB25VZMO6SFZPKBSY7HJUCXJIFVE2PEOTVA,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,1278377,0,233243,31566704
28626379,/ej2JFXQZzx/gNRsxOyZ4N1DjYPTTqNeFkmN+khuc3g=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,1249578,0,227987,31566704
28626463,Z4phPSV8rJY08XJ6LJi2KOnyJiUaOYSOF6AIpO7k11s=,KBMI42F7XM6BB5ONLWGERKIG6CDRWQNACVME5HS5ZGDHOVP5GP5KZZAABI,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,10000000,31566704,54495515,0
28626464,bwTJWOnSYo3f3kRAeqKu0UOR8d462JEmIP7TbV0yLao=,AACCDJTFPQR5UQJZ337NFR56CC44T776EWBGVJG5NY2QFTQWBWTALTEN4A,JWOUUZ7YJJ42EHPRGW2NG64LZNUHNMWK7D5TE36GF6P6P2FXHGPZ42V2AE,1073557308,1244455,0,227051,31566704
28626485,2S3bxE70o3L6bR5medsFnHRTN+O5XMBQm3EGTigBmfs=,4WUWLUWTXAX3MAUR6PDD22FGHG6ZOWATRU6SE2ECBSBLODEXH7WKS23BX4,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,1485467,31566704,8095054,0
28626510,3x2xNU4css+uQZNWnfFJfKKVomTqhn0QKQop2df2OKc=,EVESCVBC6VDIJAZM3HMUGYVQLKWHH4YJBMDV5EF65RMS67TFS5URZQ5YNY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,1661753,0,303157,31566704
28626510,VUmAoXTHl3ub6YCUhUFxioeGQw5wgDb3wMP+kIWX/1o=,J4BJWP67LHXT7LQTWZYWJGNSB25VZMO6SFZPKBSY7HJUCXJIFVE2PEOTVA,U3BVQAGBMBFISCPXRNGQLMUQSWQXOTPYPLR5F27ABGH6ERLACP5AJHLSAU,613209438,814179,0,81263021,27165954
28626512,SZKivM1LHlvLBRCe0sj8+tCK89vcVhrVQnDywRn+4e0=,AACCDJTFPQR5UQJZ337NFR56CC44T776EWBGVJG5NY2QFTQWBWTALTEN4A,AISD6FVE6UU2FSDUYPNYPDAPTWWNIZJ5ISXPSP2O6SNQD3XOYIYOGFW4QE,1076447842,714857,0,130450,31566704
